lift,weight,reps,sets,failed,session,optional,date
low bar back squat,50,6,4,0,1,0,24/7/19
conventional rack pulls,90,10,4,0,1,0,24/7/19
leg press,45,12,4,0,1,0,24/7/19
barbell front foot elevated front squat,40,10,4,0,1,0,24/7/19
back extension,NA,20,4,0,1,0,24/7/19
barbell bench press,40,6,4,0,2,0,25/7/19
wide grip pull ups,NA,10,4,1,2,0,25/7/19
single standing dumbell press,10,15,4,0,2,0,25/7/19
single dumbell row,15,10,4,0,2,0,25/7/19
bent over dumbell lateral raise,4,20,4,0,2,0,25/7/19
conventional deadlift,60,6,4,0,3,0,26/7/19
goblet squats,24,10,4,0,3,0,26/7/19
single leg curl,3,15,4,1,3,0,26/7/19
dumbell romanian deadlift,30,10,4,0,3,0,26/7/19
dumbell walking lunge,10,15,4,0,3,0,26/7/19
feet up barbell bench press,,,,,4,1,
tricep dips,,,,,4,1,
dumbell tricep extension,,,,,4,1,
cable pallof press,,,,,4,1,
tall wheeling kettlebell halo,,,,,4,1,